RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
102,"IF10359","3/5/2020","Pakistan's Domestic Political Setting","https://crsreports.congress.gov/product/pdf/download/IF/IF10359/IF10359.pdf/","23","02/16/2016"
103,"R45784","6/25/2019","Poland: Background and U.S. Relations","https://crsreports.congress.gov/product/pdf/download/R/R45784/R45784.pdf/","1","06/25/2019"
104,"R44552","5/12/2021","New Zealand: Background and Relations with the United States","https://crsreports.congress.gov/product/pdf/download/R/R44552/R44552.pdf/","6","07/01/2016"
105,"IF11496","4/6/2020","COVID-19 and Foreign Assistance: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF11496/IF11496.pdf/","2","04/07/2020"
106,"IF11274","5/11/2021","Defense Primer: Active Duty Enlisted Retention ","https://crsreports.congress.gov/product/pdf/download/IF/IF11274/IF11274.pdf/","4","07/26/2019"
107,"IF10484","8/11/2021","Defense Primer: Department of the Navy","https://crsreports.congress.gov/product/pdf/download/IF/IF10484/IF10484.pdf/","19","10/14/2016"
108,"R46616","11/24/2020","Russian Military Intelligence: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R46616/R46616.pdf/","6","11/24/2020"
109,"R42136","1/3/2012","U.S. Unmanned Aerial Systems","https://crsreports.congress.gov/product/pdf/download/R/R42136/R42136.pdf/","6","01/06/2012"
110,"IF10926","7/9/2020","Mongolia","https://crsreports.congress.gov/product/pdf/download/IF/IF10926/IF10926.pdf/","9","07/10/2018"
111,"R46571","10/9/2020","Australia's Strategic Posture: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R46571/R46571.pdf/","3","10/16/2020"
112,"IF10615","10/23/2017","Financial Crime Issues: Global Illicit Drug Proceeds","https://crsreports.congress.gov/product/pdf/download/IF/IF10615/IF10615.pdf/","3","03/16/2017"
113,"R45898","9/3/2019","U.S.-China Relations","https://crsreports.congress.gov/product/pdf/download/R/R45898/R45898.pdf/","5","08/30/2019"
114,"IF11725","6/21/2021","Bulgaria: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF11725/IF11725.pdf/","4","01/13/2021"
115,"R46282","3/24/2020","Department of Veterans Affairs: Caregiver Support","https://crsreports.congress.gov/product/pdf/download/R/R46282/R46282.pdf/","2","03/24/2020"
116,"R45968","1/26/2021","Limits on TRICARE for Reservists: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R45968/R45968.pdf/","5","10/17/2019"
117,"IF10491","10/25/2019","Australia ","https://crsreports.congress.gov/product/pdf/download/IF/IF10491/IF10491.pdf/","7","10/24/2016"
118,"R46373","5/27/2020","Countering Corruption Through U.S. Foreign Assistance","https://crsreports.congress.gov/product/pdf/download/R/R46373/R46373.pdf/","4","05/27/2020"
119,"IF10273","8/6/2015","China's 'One Belt, One Road' ","https://crsreports.congress.gov/product/pdf/download/IF/IF10273/IF10273.pdf/","2","08/07/2015"
120,"R45689","4/12/2019","FY2019 Defense Appropriations Act (P.L. 115-245)","https://crsreports.congress.gov/product/pdf/download/R/R45689/R45689.pdf/","3","04/12/2019"
121,"LSB10549","11/2/2020","Military Appellate Court: Presidential Comments Can Amount to Unlawful Command Influence","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10549/LSB10549.pdf/","2","11/02/2020"
122,"R43808","12/5/2014","Army Active Component (AC)/Reserve Component (RC) Force Mix: Considerations and Options for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43808/R43808.pdf/","3","12/05/2014"
123,"IF10253","6/17/2020","Thailand: Background and U.S. Relations","https://crsreports.congress.gov/product/pdf/download/IF/IF10253/IF10253.pdf/","10","07/13/2015"
124,"IN11362","1/13/2021","COVID-19-Related Suspension of Immigrant Entry","https://crsreports.congress.gov/product/pdf/download/IN/IN11362/IN11362.pdf/","7","04/27/2020"
125,"IF11698","12/9/2020","Legislative Proposals Related to the Removal of Inspectors General in the 116th Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF11698/IF11698.pdf/","4","12/09/2020"
126,"IF11677","5/17/2021","Defense Primer: DOD 'Title 10' Security Cooperation","https://crsreports.congress.gov/product/pdf/download/IF/IF11677/IF11677.pdf/","4","11/02/2020"
127,"IF11408","1/15/2020","Reforms in Uzbekistan","https://crsreports.congress.gov/product/pdf/download/IF/IF11408/IF11408.pdf/","2","01/15/2020"
128,"IF11783","3/30/2021","Biometric Technologies and Global Security","https://crsreports.congress.gov/product/pdf/download/IF/IF11783/IF11783.pdf/","2","03/08/2021"
129,"R45749","6/3/2019","War Legacy Issues in Southeast Asia: Unexploded Ordnance (UXO)","https://crsreports.congress.gov/product/pdf/download/R/R45749/R45749.pdf/","2","06/04/2019"
130,"RL34092","3/17/2008","Commerce, Justice, Science, and Related Agencies: FY2008 Appropriations","https://crsreports.congress.gov/product/pdf/download/RA/RL34092/RL34092.pdf/","17","07/20/2007"
131,"IF11007","11/25/2020","Defense Primer: Personnel Tempo (PERSTEMPO)","https://crsreports.congress.gov/product/pdf/download/IF/IF11007/IF11007.pdf/","7","10/23/2018"
132,"R44474","6/2/2016","Goldwater-Nichols at 30: Defense Reform and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44474/R44474.pdf/","12","04/20/2016"
133,"IF10868","4/5/2018","FY2018 Defense Appropriations Act: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF10868/IF10868.pdf/","2","04/05/2018"
134,"LSB10291","6/7/2019","Frequently Asked Questions about the Julian Assange Charges","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10291/LSB10291.pdf/","3","04/22/2019"
135,"IF10304","1/25/2021","Kyrgyz Republic","https://crsreports.congress.gov/product/pdf/download/IF/IF10304/IF10304.pdf/","12","10/13/2015"
136,"R46421","6/17/2020","DOD Transfer and Reprogramming Authorities: Background, Status, and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R46421/R46421.pdf/","2","06/17/2020"
137,"IF10568","7/23/2021","Overview of the Global Humanitarian and Displacement Crisis","https://crsreports.congress.gov/product/pdf/download/IF/IF10568/IF10568.pdf/","14","12/23/2016"
138,"IF11550","9/3/2020","Protecting Against Rogue Drones","https://crsreports.congress.gov/product/pdf/download/IF/IF11550/IF11550.pdf/","3","05/14/2020"
